sample_id,speaker_id,phone_folder,mode,take_id,read_style,target_group,target_word,target_words,target_phoneme,target_position,expected_label,needs_expert_label,transcript
speaker-01/d/T/T_01,speaker-01,d,T,T01,group_words_correct,final_d,bed|good|played,bed|good|played,d,final,OK,false,bed good played
speaker-01/d/T/T_02,speaker-01,d,T,T02,group_words_correct,final_d,bed|good|played,bed|good|played,d,final,OK,false,bed good played
speaker-01/d/T/T_03,speaker-01,d,T,T03,group_words_correct,final_d,bed|good|played,bed|good|played,d,final,OK,false,bed good played
speaker-01/d/F/F_01,speaker-01,d,F,F01,group_words_error,final_d,bed|good|played,bed|good|played,d,final,final_d_weak_or_omitted,true,bed good played
speaker-01/d/F/F_02,speaker-01,d,F,F02,group_words_error,final_d,bed|good|played,bed|good|played,d,final,final_d_weak_or_omitted,true,bed good played
speaker-01/d/F/F_03,speaker-01,d,F,F03,group_words_error,final_d,bed|good|played,bed|good|played,d,final,final_d_weak_or_omitted,true,bed good played
speaker-01/d/C/bed_C_01,speaker-01,d,C,C01,sentence_error,final_d,bed,bed,d,final,final_d_weak_or_omitted,true,I want to go to bed.
speaker-01/d/C/bed_C_02,speaker-01,d,C,C02,sentence_error,final_d,bed,bed,d,final,final_d_weak_or_omitted,true,I want to go to bed.
speaker-01/d/C/bed_C_03,speaker-01,d,C,C03,sentence_error,final_d,bed,bed,d,final,final_d_weak_or_omitted,true,I want to go to bed.
speaker-01/d/C/good_C_01,speaker-01,d,C,C01,sentence_error,final_d,good,good,d,final,final_d_weak_or_omitted,true,Have a good day!
speaker-01/d/C/good_C_02,speaker-01,d,C,C02,sentence_error,final_d,good,good,d,final,final_d_weak_or_omitted,true,Have a good day!
speaker-01/d/C/good_C_03,speaker-01,d,C,C03,sentence_error,final_d,good,good,d,final,final_d_weak_or_omitted,true,Have a good day!
speaker-01/d/C/played_C_01,speaker-01,d,C,C01,sentence_error,final_d,played,played,d,final,final_d_weak_or_omitted,true,The boys played football.
speaker-01/d/C/played_C_02,speaker-01,d,C,C02,sentence_error,final_d,played,played,d,final,final_d_weak_or_omitted,true,The boys played football.
speaker-01/d/C/played_C_03,speaker-01,d,C,C03,sentence_error,final_d,played,played,d,final,final_d_weak_or_omitted,true,The boys played football.
